Locus	wtA	wtB	wtC								
AT1G07310	1623	3020	1655								
AT1G07320	2667	5061	4391								
AT1G07330	0	0	0								
AT1G07340	0	0	0								
AT1G07350	1356	4818	1711								
AT1G07360	980	1585	1305								
AT1G07370	271	453	319								
AT1G07380	1	8	1								
AT1G07390	0	1	2								
AT1G07400	11	45	44								
AT1G07410	1	6	4								
AT1G07420	641	1351	598								
AT1G07430	50	100	100								
AT1G07440	345	786	491								
AT1G07450	1	2	0								
AT1G07460	0	0	0								
AT1G07470	762	1718	786								
AT1G07473	1	1	5								
AT1G07476	0	0	0								
AT1G07480	7	5	6								
AT1G07485	2	7	0								
AT1G07490	20	22	18								
AT1G07500	0	0	0								
AT1G07510	140	213	219								
AT1G07520	79	165	137								
AT1G07530	87	387	192								
AT1G07540	0	0	0								
AT1G07550	1	5	0								
AT1G07560	0	16	5								
AT1G07570	558	1263	745								
AT1G07580	0	0	0								
AT1G07590	29	72	32								
AT1G07600	0	0	0								
AT1G07610	0	0	0								
AT1G07615	84	224	102								
AT1G07620	71	81	47								
AT1G07630	432	1506	879								
AT1G07640	238	381	348								
AT1G07645	45	159	74								
AT1G07650	552	1173	574								
AT1G07660	319	315	268								
AT1G07670	560	747	606								
AT1G07680	21	18	18								
AT1G07690	94	166	438								
AT1G07700	204	939	357								
AT1G07702	0	0	0								
AT1G07705	262	326	219								
AT1G07710	0	1	1								
AT1G07720	2264	1950	2250								
AT1G07725	2	3	1								
AT1G07728	206	325	217								
AT1G07730	0	0	0								
AT1G07740	246	283	133								
AT1G07745	202	674	194								
AT1G07747	0	0	0								
AT1G07750	1218	1108	1050								
AT1G07760	0	0	0								
AT1G07770	34203	40417	32800								
AT1G07780	70	199	106								
AT1G07790	4098	5384	5049								
AT1G07795	3	12	13								
AT1G07800	0	0	0								
AT1G07810	804	1738	1103								
AT1G07820	4407	10330	5944								
AT1G07830	2868	6036	3501								
AT1G07840	258	388	323								
AT1G07850	0	0	0								
AT1G07860	0	0	0								
AT1G07870	773	1269	912								
AT1G07880	38	66	32								
AT1G07885	0	0	0								
AT1G07890	23521	48556	26484								
AT1G07900	0	0	0								
AT1G07901	0	0	0								
AT1G07910	39	71	58								
AT1G07920	26490	33578	30258								
AT1G07930	15485	32563	25556								
AT1G07940	29255	41618	36112								
AT1G07950	1160	1806	683								
AT1G07960	709	1592	833								
AT1G07970	301	825	437								
AT1G07980	562	579	474								
AT1G07985	2791	3694	3485								
AT1G07990	427	859	456								
AT1G08000	56	103	75								
AT1G08005	0	0	0								
AT1G08010	339	519	481								
AT1G08030	116	239	175								
AT1G08032	0	0	0								
AT1G08035	0	1	1								
AT1G08040	243	762	249								
AT1G08050	94	249	160								
AT1G08060	57	152	91								
AT1G08065	0	0	0								
AT1G08070	2	32	1								
AT1G08080	0	0	0								
AT1G08090	0	1	3								
AT1G08100	0	0	0								
AT1G08105	0	0	0								
AT1G08110	2123	5295	2638								
AT1G08115	0	0	0								
AT1G08120	0	0	0								
AT1G08125	209	270	181								
AT1G08130	195	822	627								
AT1G08135	0	0	0								
AT1G08140	0	0	0								
AT1G08150	0	0	0								
AT1G08160	304	192	269								
AT1G08165	0	0	0								
AT1G08170	2	6	18								
AT1G08180	1183	956	636								
AT1G08190	2571	5117	3110								
AT1G08200	3735	4682	4227								
AT1G08210	320	1104	614								
AT1G08220	71	169	157								
AT1G08230	151	167	124								
AT1G08240	0	0	0								
AT1G08250	182	314	150								
AT1G08260	6	43	13								
AT1G08270	5	4	4								
AT1G08280	130	317	193								
